TIME,H1_TEMP,H2_TEMP,AMB_TEMP,SP1_ABS,SP2_ABS,SP1_REL,SP2_REL,H1_MUL_NOISE,H2_MUL_NOISE,F_MUL_NOISE,H1_ADD_NOISE,H2_ADD_NOISE,F_ADD_NOISE,H1_NEG_SAT,H2_NEG_SAT,F_NEG_SAT,H1_POS_SAT,H2_POS_SAT,F_POS_SAT,H1_RATE_SAT,H2_RATE_SAT,F_RATE_SAT,H1_C_PWM,H2_C_PWM,F_C_PWM,H1_D_PWM,H2_D_PWM,F_D_PWM,CTRL_ACTION,CTRL_TIME
13800,19.5,20.0,19.5,0.0,0.0,0.0,1.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,0.0,0,0,0.0,0.0,0.0,0,0
14000,19.5,20.0,19.5,0.0,0.0,0.0,1.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,0.0,0,0,0.0,0.0,0.0,0,0
14200,19.5,20.0,19.5,0.0,0.0,0.0,1.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,0.0,0,0,0.0,0.0,0.0,0,0
14400,19.5,20.0,19.5,0.0,0.0,0.0,1.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,0.0,0,0,0.0,0.0,0.0,0,0
14600,19.5,20.0,19.5,0.0,0.0,0.0,1.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,0.0,0,0,0.0,0.0,0.0,0,0
14800,19.5,20.0,19.5,0.0,0.0,0.0,1.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,0.0,0,0,0.0,0.0,0.0,0,0
15000,19.5,20.0,19.5,0.0,0.0,0.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,0.0,0,0,0.0,0.0,0.0,0,0
15200,19.5,20.0,19.5,0.0,0.0,0.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,1,0
15400,19.5,20.0,19.5,0.0,0.0,0.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
15600,19.5,20.0,19.5,0.0,0.0,0.0,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,1000.0,1000.0,1000.0,29.871827500000002,0,0,29.871827500000002,0.0,0.0,0,0
